severity,category,rule_id,file,line,snippet,why,fix,test
P1,risk_math,risk_metrics_no_fillna_zero_returns,archive/dean_integration.py,118,returns = data['close'].pct_change(fill_method=None).fillna(0).tail(20),fillna(0) can hide missing data.,Drop/flag NaN explicitly.,Missing data not zero risk test.
P1,risk_math,risk_metrics_no_fillna_zero_returns,archive/dean_integration.py,205,returns = data['close'].pct_change(fill_method=None).fillna(0).tail(20),fillna(0) can hide missing data.,Drop/flag NaN explicitly.,Missing data not zero risk test.
P0,features,feature_module_must_not_emit_target_columns,dashboard/main_app.py,240,"st.info(f""**{event['source_domain']}** ➔ **{event['target_domain']}**: {event['insight']}"")",Feature modules emitting target_* can leak labels.,Move target generation into src/targets.,Enricher no target_* test.
P0,temporal,future_shift_requires_groupby_ticker,targets/timeframe_contract.py,152,future_at = observed_at.shift(-bars),Future shift can leak across ticker boundaries.,Use df.groupby('ticker')[col].shift(-horizon).,Multi-ticker boundary target test.
P0,temporal,future_shift_requires_groupby_ticker,targets/timeframe_contract.py,160,future_partition = frame[column].shift(-bars),Future shift can leak across ticker boundaries.,Use df.groupby('ticker')[col].shift(-horizon).,Multi-ticker boundary target test.
P1,risk_math,risk_metrics_no_fillna_zero_returns,analytics/calculators/market_regime_calculator.py,34,rolling_std = price_series.pct_change(fill_method=None).fillna(0).rolling(window=window).std(),fillna(0) can hide missing data.,Drop/flag NaN explicitly.,Missing data not zero risk test.
P1,risk_math,risk_metrics_no_fillna_zero_returns,analytics/calculators/market_regime_calculator.py,35,rolling_mean = price_series.pct_change(fill_method=None).fillna(0).rolling(window=window).mean(),fillna(0) can hide missing data.,Drop/flag NaN explicitly.,Missing data not zero risk test.
P1,risk_math,risk_metrics_no_fillna_zero_returns,analytics/calculators/market_regime_calculator.py,100,returns = price_series.pct_change(fill_method=None).fillna(0),fillna(0) can hide missing data.,Drop/flag NaN explicitly.,Missing data not zero risk test.
P1,risk_math,risk_metrics_no_fillna_zero_returns,archive/algorithms/advanced_backtest_engine.py,83,returns = equity.pct_change(fill_method=None).fillna(0),fillna(0) can hide missing data.,Drop/flag NaN explicitly.,Missing data not zero risk test.
P0,features,feature_module_must_not_emit_target_columns,archive/models/feature_selector.py,4,from src.pipeline.target_column_utils import is_target_like_column,Feature modules emitting target_* can leak labels.,Move target generation into src/targets.,Enricher no target_* test.
P0,features,feature_module_must_not_emit_target_columns,archive/models/feature_selector.py,59,cols_to_use = [c for c in df.columns if not is_target_like_column(c)],Feature modules emitting target_* can leak labels.,Move target generation into src/targets.,Enricher no target_* test.
P0,features,feature_module_must_not_emit_target_columns,archive/models/feature_selector.py,72,available_features = [f for f in available_features if not is_target_like_column(f)],Feature modules emitting target_* can leak labels.,Move target generation into src/targets.,Enricher no target_* test.
P0,features,feature_module_must_not_emit_target_columns,archive/models/feature_selector.py,78,final_selected = [f for f in selected_features if not is_target_like_column(f)],Feature modules emitting target_* can leak labels.,Move target generation into src/targets.,Enricher no target_* test.
P0,features,feature_module_must_not_emit_target_columns,archive/models/feature_selector.py,81,if any(is_target_like_column(f) for f in final_selected):,Feature modules emitting target_* can leak labels.,Move target generation into src/targets.,Enricher no target_* test.
P0,features,feature_module_must_not_emit_target_columns,archive/models/feature_selector.py,93,and not is_target_like_column(col),Feature modules emitting target_* can leak labels.,Move target generation into src/targets.,Enricher no target_* test.
P0,features,feature_module_must_not_emit_target_columns,archive/models_dead/enhanced_ensemble.py,122,f'data/colab/accumulated/test_ticker_amd_target_1d_ep5_iter5/models/{model_filename}',Feature modules emitting target_* can leak labels.,Move target generation into src/targets.,Enricher no target_* test.
